osm_id,name,water,feature_type,area_m2,area_ha,area_km2,size_class,cx_utm,cy_utm
way/1000000,Lake Chivero,lake,Natural Water,14475971.944337754,1447.5972,14.475972,Very Large (>100ha),285476.5522380334,8019093.503226881
way/1000001,Harava Dam,reservoir,Reservoir,1381328.4509628133,138.1328,1.381328,Large (10-100ha),298321.0928226843,8037347.543980192
way/1000002,Mazowe Dam,reservoir,Reservoir,1546791.182759769,154.6791,1.546791,Large (10-100ha),290006.7708814507,8044138.666922599
way/1000003,Lake Chivero Inlet,lake,Natural Water,167281.13117167412,16.7281,0.167281,Large (10-100ha),287131.6238242445,8020515.791793553
way/1000004,Borrowdale Pond,pond,Natural Water,30343.453035230614,3.0343,0.030343,Medium (1-10ha),298006.2617686475,8037330.223320337
way/1000005,Manyame Headwaters,lake,Natural Water,288554.08839924255,28.8554,0.288554,Large (10-100ha),283839.6169655968,8023037.940833268
way/1000006,Mukuvisi Wetland,wetland,Natural Water,66896.90122100132,6.6897,0.066897,Medium (1-10ha),295246.6332543343,8028450.446463256
way/1000007,Crowhill Dam,reservoir,Reservoir,58169.63903959921,5.817,0.05817,Medium (1-10ha),294317.6114173942,8035852.5333562875
way/1000008,Cleveland Dam,reservoir,Reservoir,417869.47272769344,41.7869,0.417869,Large (10-100ha),288215.33286700764,8030573.257620692
way/1000009,Prince Edward Dam,reservoir,Reservoir,146514.21426965744,14.6514,0.146514,Large (10-100ha),291210.78477960377,8028858.7689982075
way/1000010,Unnamed Pond 1,pond,Natural Water,7440.018618312965,0.744,0.00744,Small (0.1-1ha),299876.88806776877,8030930.032095119
way/1000011,Unnamed Pond 2,pond,Natural Water,3889.573162890238,0.389,0.00389,Small (0.1-1ha),295924.3390443838,8023585.087999004
way/1000012,Unnamed Pond 3,pond,Natural Water,15386.947995726665,1.5387,0.015387,Medium (1-10ha),282734.8562861535,8027426.619101078
way/1000013,Unnamed Pond 4,pond,Natural Water,6321.222253609162,0.6321,0.006321,Small (0.1-1ha),301741.3781834431,8035380.168333275
way/1000014,Unnamed Pond 5,pond,Natural Water,12104.197861709099,1.2104,0.012104,Medium (1-10ha),288483.27941715537,8035240.803396833
way/1000015,Greendale Vlei,wetland,Natural Water,38197.01689810801,3.8197,0.038197,Medium (1-10ha),297556.0787742838,8029467.0050311675
way/1000016,Greystone Pond,pond,Natural Water,21052.113882410165,2.1052,0.021052,Medium (1-10ha),296669.69450189767,8033885.481011249
way/1000017,Ballantyne Park Pond,pond,Natural Water,9582.516786733397,0.9583,0.009583,Small (0.1-1ha),298905.56083513185,8032580.466336449
way/1000018,Tynwald Wetland,wetland,Natural Water,55846.72856264637,5.5847,0.055847,Medium (1-10ha),290638.97490380966,8031616.145197788
way/1000019,Mabvuku Reservoir,reservoir,Reservoir,111693.83352356458,11.1694,0.111694,Large (10-100ha),302901.63248495397,8026530.986377396
